City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bluff,-46.6,168.3333,12.63,72,79,5.11,NZ,1673456986
1,cape town,-33.9258,18.4232,24.5,67,96,5.36,ZA,1673456703
2,ushuaia,-54.8,-68.3,10.81,71,75,7.72,AR,1673456986
3,norfolk,42.1668,-71.2495,2.54,68,40,4.12,US,1673456987
4,grand gaube,-20.0064,57.6608,26.32,72,67,2.24,MU,1673456987
5,bouna,9.2667,-3.0,33.88,10,9,3.23,CI,1673456988
6,busselton,-33.65,115.3333,15.02,92,0,3.29,AU,1673456988
7,port alfred,-33.5906,26.891,24.54,89,97,4.44,ZA,1673456989
8,butaritari,3.0707,172.7902,27.11,79,45,7.93,KI,1673456989
9,ilulissat,69.2167,-51.1,-29.81,90,65,2.63,GL,1673456989
10,phek,25.6667,94.5,4.19,95,14,0.53,IN,1673456990
11,jamestown,42.097,-79.2353,3.73,62,100,3.6,US,1673456900
12,hermanus,-34.4187,19.2345,23.78,78,93,3.64,ZA,1673457020
13,klaksvik,62.2266,-6.589,4.51,78,100,9.36,FO,1673457020
14,atuona,-9.8,-139.0333,25.52,74,7,5.41,PF,1673457021
15,yellowknife,62.456,-114.3525,-24.1,95,92,2.03,CA,1673457021
16,codrington,-38.2667,141.9667,14.9,96,27,3.23,AU,1673457022
17,cherskiy,68.75,161.3,-34.91,99,100,1.2,RU,1673457022
18,hilo,19.7297,-155.09,21.82,56,0,2.57,US,1673457023
19,barrow,71.2906,-156.7887,-23.99,77,0,11.32,US,1673457023
20,lebu,-37.6167,-73.65,15.24,59,0,10.25,CL,1673457023
21,haines junction,60.7522,-137.5108,-21.89,100,100,0.17,CA,1673457024
22,pasni,25.2631,63.471,16.85,42,68,15.87,PK,1673457024
23,dohar,23.5883,90.1469,18.99,36,0,3.16,BD,1673457025
24,san miguel,13.4833,-88.1833,32.81,37,20,1.32,SV,1673457025
25,canutama,-6.5339,-64.3831,27.36,73,90,0.76,BR,1673457026
26,chokurdakh,70.6333,147.9167,-33.97,97,100,1.64,RU,1673457026
27,plettenberg bay,-34.0527,23.3716,21.94,84,95,2.9,ZA,1673457027
28,garowe,8.4054,48.4845,25.75,35,3,7.4,SO,1673457027
29,bambanglipuro,-7.95,110.2833,25.33,85,48,0.81,ID,1673457028
30,torbay,47.6666,-52.7314,-3.01,89,75,5.66,CA,1673457028
